contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
SPXW211001C03500000,3500,USD,860.7,0,0,4,7,814.6,818.3,REGULAR,1633046400,1632922817,2.3460734707641597,true
SPXW211001C03750000,3750,USD,570.67,0,0,10,11,564.6,568.3,REGULAR,1633046400,1633023317,1.689454677734375,true
SPXW211001C03775000,3775,USD,623.06,0,0,,2,0,0,REGULAR,1633046400,1629397926,0.000010000000000000003,true
SPXW211001C03800000,3800,USD,642.46,0,0,1,1,514.9,518.6,REGULAR,1633046400,1632490507,1.5709249969482422,true
SPXW211001C03825000,3825,USD,676.9,0,0,1,5,0,0,REGULAR,1633046400,1629915296,0.000010000000000000003,true
SPXW211001C03850000,3850,USD,562.08,0,0,,39,0,0,REGULAR,1633046400,1629397302,0.000010000000000000003,true
SPXW211001C03875000,3875,USD,506.36,0,0,,34,0,0,REGULAR,1633046400,1629363124,0.000010000000000000003,true
SPXW211001C03900000,3900,USD,505.99,0,0,1,63,414.6,418.4,REGULAR,1633046400,1632832532,1.300906815795898,true
SPXW211001C03925000,3925,USD,461.28,0,0,,30,0,0,REGULAR,1633046400,1629361490,0.000010000000000000003,true
SPXW211001C03950000,3950,USD,413.68,0,0,2,31,364.2,368.1,REGULAR,1633046400,1633015025,1.158817682495117,true
SPXW211001C03970000,3970,USD,362.37,0,0,200,200,344.2,348.1,REGULAR,1633046400,1632162702,1.106510815124512,true
SPXW211001C03975000,3975,USD,388.59,0,0,2,220,339.4,343.1,REGULAR,1633046400,1633015025,1.0965010995483397,true
SPXW211001C04000000,4000,USD,337.47,0,0,1,18,314.1,317.8,REGULAR,1633046400,1633026234,1.0217334069824218,true
SPXW211001C04020000,4020,USD,351.9,0,0,,5,294.4,298.2,REGULAR,1633046400,1632147774,0.9791872198486329,true
SPXW211001C04025000,4025,USD,381.49,0,0,1,501,289.1,292.8,REGULAR,1633046400,1632832532,0.9558720233154296,true
SPXW211001C04030000,4030,USD,369.72,0,0,2,7,284.3,288,REGULAR,1633046400,1632323452,0.9483342568969727,true
SPXW211001C04050000,4050,USD,318,0,0,7,7,264.5,268.2,REGULAR,1633046400,1632858129,0.9004526556396484,true
SPXW211001C04070000,4070,USD,306.9,0,0,,5,244.2,248.1,REGULAR,1633046400,1632147713,0.8413712152099608,true
SPXW211001C04075000,4075,USD,376.18,0,0,2,2,239.7,243.4,REGULAR,1633046400,1632502887,0.8381363842773437,true
SPXW211001C04095000,4095,USD,352.84,0,0,1,1,219.7,223.4,REGULAR,1633046400,1632771985,0.7834799484252931,true
SPXW211001C04100000,4100,USD,343.63,0,0,3,40,215,218.7,REGULAR,1633046400,1632749660,0.776918734741211,true
SPXW211001C04110000,4110,USD,338.11,0,0,1,13,204.5,208.2,REGULAR,1633046400,1632496821,0.7373683489990235,true
SPXW211001C04120000,4120,USD,326.79,0,0,80,7,195,197.7,REGULAR,1633046400,1632497027,0.709689182434082,true
SPXW211001C04125000,4125,USD,257.9,0,0,10,11,190.4,192.5,REGULAR,1633046400,1632148950,0.698092618713379,true
SPXW211001C04135000,4135,USD,399,0,0,,5,180.3,182.5,REGULAR,1633046400,1630526638,0.6689791403198243,true
SPXW211001C04140000,4140,USD,408.53,0,0,1,1,175.3,177.5,REGULAR,1633046400,1630696665,0.6549106774902345,true
SPXW211001C04145000,4145,USD,399,0,0,5,10,170.3,172.5,REGULAR,1633046400,1630699109,0.6408116973876954,true
SPXW211001C04150000,4150,USD,209.67,0,0,1,27,165.3,167.5,REGULAR,1633046400,1632858745,0.6266516827392579,true
SPXW211001C04155000,4155,USD,202.77,0,0,1,11,160.7,162.9,REGULAR,1633046400,1633014719,0.6208839181518556,true
SPXW211001C04160000,4160,USD,226.9,0,0,3,4,155.7,157.9,REGULAR,1633046400,1632317450,0.6064797653198243,true
SPXW211001C04170000,4170,USD,224.18,0,0,3,14,146.1,147.9,REGULAR,1633046400,1632231311,0.581486118774414,true
SPXW211001C04175000,4175,USD,276.97,0,0,1,2,140.3,142.7,REGULAR,1633046400,1632768313,0.5568891967773439,true
SPXW211001C04180000,4180,USD,265.88,0,0,10,14,135.5,137.9,REGULAR,1633046400,1632498514,0.5462386685180666,true
SPXW211001C04185000,4185,USD,154.07,0,0,1,5,130.7,132.9,REGULAR,1633046400,1633030208,0.5334214138793946,true
SPXW211001C04190000,4190,USD,175.1,0,0,4,5,125.7,127.6,REGULAR,1633046400,1632845243,0.5157213955688477,true
SPXW211001C04195000,4195,USD,170.4,0,0,8,8,120.4,122.8,REGULAR,1633046400,1632845243,0.5219469192504882,true
SPXW211001C04200000,4200,USD,179.84,0,0,2,31,115.8,117.5,REGULAR,1633046400,1632925166,0.5012562081909181,true
SPXW211001C04205000,4205,USD,132.29,0,0,5,15,110.8,112.9,REGULAR,1633046400,1633026188,0.49289447540283216,true
SPXW211001C04210000,4210,USD,127.39,0,0,5,13,105.6,107.9,REGULAR,1633046400,1633026188,0.47730014892578126,true
SPXW211001C04215000,4215,USD,130.88,0,0,3,19,100.7,103,REGULAR,1633046400,1633025347,0.46326220336914065,true
SPXW211001C04220000,4220,USD,143.8,0,0,6,10,96.3,98.3,REGULAR,1633046400,1632851792,0.45227598510742195,true
SPXW211001C04225000,4225,USD,60.23,-49.820004,-45.270336,2,35,91.3,93.4,REGULAR,1633046400,1633074417,0.43778028045654294,true
SPXW211001C04230000,4230,USD,55.93,-57.89,-50.861008,2,14,86.4,88.2,REGULAR,1633046400,1633074417,0.41831026031494134,true
SPXW211001C04235000,4235,USD,104.92,0,0,3,10,81.5,83.2,REGULAR,1633046400,1633030208,0.4018614501953125,true
SPXW211001C04240000,4240,USD,92.98,0,0,10,53,76.5,78.6,REGULAR,1633046400,1633030949,0.3913024737548828,true
SPXW211001C04245000,4245,USD,57.9,-30.400002,-34.42809,5,15,72.1,74.1,REGULAR,1633046400,1633086712,0.38172005004882803,true
SPXW211001C04250000,4250,USD,99.65,0,0,27,46,67.2,69.3,REGULAR,1633046400,1633028061,0.36725486267089846,true
SPXW211001C04255000,4255,USD,68.49,0,0,18,11,63.2,63.8,REGULAR,1633046400,1633031581,0.3425511302185058,true
SPXW211001C04260000,4260,USD,64.19,0,0,27,19,58.9,59.5,REGULAR,1633046400,1633031581,0.3343725010681152,true
SPXW211001C04265000,4265,USD,61,5.779999,10.467219,5,39,54.4,55,REGULAR,1633046400,1633089763,0.32269964416503893,true
SPXW211001C04270000,4270,USD,56.5,6.1800003,12.281399,9,39,49.8,50.4,REGULAR,1633046400,1633089763,0.3089973886108398,true
SPXW211001C04275000,4275,USD,33.9,-20.75,-37.96889,22,71,45.7,46.3,REGULAR,1633046400,1633086755,0.3009103112792969,true
SPXW211001C04280000,4280,USD,37.9,-3.699997,-8.894224,12,59,41.5,42.1,REGULAR,1633046400,1633087661,0.29050392120361324,true
SPXW211001C04285000,4285,USD,43.64,4.579998,11.725545,136,18,37.5,38,REGULAR,1633046400,1633090572,0.28020434158325186,true
SPXW211001C04290000,4290,USD,38.22,3.1900024,9.106487,2,97,33.5,34.1,REGULAR,1633046400,1633090231,0.27103390106201175,true
SPXW211001C04295000,4295,USD,35.48,2.75,8.402078,1,123,29.6,30.3,REGULAR,1633046400,1633090572,0.26163458099365233,true
SPXW211001C04300000,4300,USD,28.92,0.7900009,2.808393,51,441,26.6,27.1,REGULAR,1633046400,1633092212,0.2574231973266602,true
SPXW211001C04305000,4305,USD,28.08,3.1599998,12.680578,161,635,23,23.5,REGULAR,1633046400,1633090572,0.24695577270507812,true
SPXW211001C04310000,4310,USD,23,0.7399998,3.3243475,155,378,19.9,20.4,REGULAR,1633046400,1633091771,0.2401504208374023,false
SPXW211001C04315000,4315,USD,19.7,0.29000092,1.49408,133,1944,16.9,17.4,REGULAR,1633046400,1633092167,0.23236851623535154,false
SPXW211001C04320000,4320,USD,18.5,1.2399998,7.1842394,70,446,14.4,14.9,REGULAR,1633046400,1633091665,0.22791299438476562,false
